sample,label,weight
Hemo_predi/Data_pk/pc6/8DL49zs_both_/20122.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/14659.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/19466.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/18306.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/6969.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/4816.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/524.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/10909.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/4616.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/4331.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/13843.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/5802.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/18166.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/18163.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/16212.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/3104.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/13827.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/19825.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/20121.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/3454.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/14259.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/19467.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/641.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/18165.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/14658.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/3379.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/1479.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/10247.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/4572.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/1241.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/17046.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/11951.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/5594.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/3479.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/5566.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/3287.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/15942.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/2205.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/3103.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/3365.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/13787.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/17794.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/3483.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/15965.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/14784.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/13716.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/16217.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/9494.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/3360.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/6965.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/10965.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/16246.pickle,1,1.0
